AGENCYNAME,STATE,budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
whitley county police department,KY,NA,1598266,NA,NA,698000
garrard county police department,KY,NA,NA,541295,667600,NA
fraser winter park police department,CO,1200000,NA,1544127,1723226,NA
new castle county police department,DE,51330407,62676929,68096399,71273749,73680000
chatham county police department,GA,NA,NA,14153412,15116035,14555231
athens clarke county police department,GA,21700000,22797782,24605832,25834715,NA
clayton county police department,GA,33553781,27639183,39207499,43066617,43066617
cobb county police department,GA,55420523,57757337,78881622,79651600,79651600
dekalb county police department,GA,99177706,107201903,95079379,98338802,91252024
floyd county police department,GA,NA,5035950,5519715,5798220,6547705
glynn county police department,GA,NA,NA,NA,NA,14742445
gwinnett county police department,GA,104635459,119546420,147811103,158041846,143985450
henry county police department,GA,17310109,18787125,24209407,24209907,24209907
walker county police department,GA,NA,NA,NA,NA,4810000
ware county police department,GA,NA,NA,NA,NA,NA
clear lake-ventura police department,IA,NA,NA,2582444,3072189,NA
riley county police department,KS,NA,19764000,21593444,22193453,NA
anne arundel county police,MD,NA,124680900,151162000,156098400,173438000
baltimore county police,MD,1.9e+08,198513945,237613323,236088678,243231000
howard county police,MD,95532202,105217231,124224795,124729951,111959000
montgomery county police,MD,250599471,270017964,280038331,295327329,NA
prince george's county police department,MD,258844600,293768100,361900200,348266800,371052000
saint charles county police department,MO,NA,NA,19068672,18925378,22434118
saint louis county police department,MO,97575500,106906445,136708269,142037491,133600000
gaston county police department,NC,13067444,17198922,14500000,1.5e+07,87116000
camden county police department,NJ,NA,67141598,72062895,78479788,NA
nassau county police department,NY,7.5e+07,833241088,"590,236,000","592,600,000",590997000
suffolk county police department,NY,451326836,493330109,702940082,720101353,595880877
westchester county department of public safety,NY,45091610,"32,494,029",56340861,59777619,45493059
allegheny county police department,PA,,,35645007,37531729,37489716
colonial regional police department,PA,1144173,1235255,3850000,4003189,1753481
charleroi regional police department,PA,555819,540190,8e+05,975000,677585
horry county police department,SC,18276386,22167692,24928508,26580358,32447000
albemarle county police department,VA,16758968,16749491,1.8e+07,1.8e+07,21029000
arlington county police department,VA,59909398,7e+07,72068068,72274292,72968000
chesterfield county police department,VA,54273900,64364000,68859100,67118000,83196000
fairfax county police department,VA,171297668,185614863,220985727,220090480,279761000
henrico county division of police,VA,64323440,62692494,7.9e+07,8.2e+07,80645000
prince william county police department,VA,80330712,96635505,114171668,113382946,135211000
roanoke county police department,VA,10800000,11134873,12850306,12925780,22444000
norphlet police department,AR,NA,NA,NA,NA,NA
lynn police department,AL,NA,NA,75000,75000,NA
sanford police department,CO,NA,NA,55969,30000,NA
whitaker borough police department,PA,192612,180085,195101,251823,174470
saltsburg borough police department,PA,96837,76697,54100,55227,46304
stoneboro borough police department,PA,61127,72462,50000,50000,45225
west brownsville borough police department,PA,73946,56750,55882,49985,115398
china grove police department,TX,NA,NA,267860,278500,NA
pittsford police department,VT,NA,NA,218938,223994,NA
borough of woodland park police department,NJ,NA,NA,NA,NA,NA
east granby police department,CT,NA,NA,NA,NA,NA
denver police department,IA,NA,NA,259317,269347,NA
dunlap police department,IA,NA,NA,210000,215000,NA
ellsworth police department,IA,NA,NA,175000,175000,NA
nora springs police department,IA,NA,NA,178000,180000,NA
west bend police department,IA,NA,NA,87285,127140,NA
boyle police department,MS,NA,NA,66607,90885,NA
osyka police department,MS,NA,NA,NA,NA,NA
crofton police department,NE,NA,NA,65000,112000,NA
spalding police department,NE,NA,NA,NA,NA,NA
bethel heights police department,AR,NA,NA,NA,NA,NA
sparkman police department,AR,NA,NA,NA,NA,NA
magazine police department,AR,NA,45000,80000,80000,NA
bauxite police department,AR,NA,NA,NA,NA,NA
