budget_2013,budget_2016,OPBUDGET_2019,OPBUDGET2020,opbudget_2021_2022
NA,1598266,NA,NA,698000
NA,NA,541295,667600,NA
1200000,NA,1544127,1723226,NA
51330407,62676929,68096399,71273749,73680000
NA,NA,14153412,15116035,14555231
21700000,22797782,24605832,25834715,NA
33553781,27639183,39207499,43066617,43066617
55420523,57757337,78881622,79651600,79651600
99177706,107201903,95079379,98338802,91252024
NA,5035950,5519715,5798220,6547705
NA,NA,NA,NA,14742445
104635459,119546420,147811103,158041846,143985450
17310109,18787125,24209407,24209907,24209907
NA,NA,NA,NA,4810000
NA,NA,NA,NA,NA
NA,NA,2582444,3072189,NA
NA,19764000,21593444,22193453,NA
NA,124680900,151162000,156098400,173438000
1.9e+08,198513945,237613323,236088678,243231000
95532202,105217231,124224795,124729951,111959000
250599471,270017964,280038331,295327329,NA
258844600,293768100,361900200,348266800,371052000
NA,NA,19068672,18925378,22434118
97575500,106906445,136708269,142037491,133600000
13067444,17198922,14500000,1.5e+07,87116000
NA,67141598,72062895,78479788,NA
7.5e+07,833241088,"590,236,000","592,600,000",590997000
451326836,493330109,702940082,720101353,595880877
45091610,"32,494,029",56340861,59777619,45493059
,,35645007,37531729,37489716
1144173,1235255,3850000,4003189,1753481
555819,540190,8e+05,975000,677585
18276386,22167692,24928508,26580358,32447000
16758968,16749491,1.8e+07,1.8e+07,21029000
59909398,7e+07,72068068,72274292,72968000
54273900,64364000,68859100,67118000,83196000
171297668,185614863,220985727,220090480,279761000
64323440,62692494,7.9e+07,8.2e+07,80645000
80330712,96635505,114171668,113382946,135211000
10800000,11134873,12850306,12925780,22444000
NA,NA,NA,NA,NA
NA,NA,75000,75000,NA
NA,NA,55969,30000,NA
192612,180085,195101,251823,174470
96837,76697,54100,55227,46304
61127,72462,50000,50000,45225
73946,56750,55882,49985,115398
NA,NA,267860,278500,NA
NA,NA,218938,223994,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,259317,269347,NA
NA,NA,210000,215000,NA
NA,NA,175000,175000,NA
NA,NA,178000,180000,NA
NA,NA,87285,127140,NA
NA,NA,66607,90885,NA
NA,NA,NA,NA,NA
NA,NA,65000,112000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,45000,80000,80000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,32000,45000,NA
NA,NA,25000,25000,NA
NA,NA,NA,NA,NA
NA,NA,430150,480550,NA
NA,NA,284920,270180,NA
NA,NA,367316,357141,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,80000,82000,NA
NA,201109,243000,253000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,148938,158271,NA
NA,483828,605000,620000,NA
NA,NA,175000,182000,NA
NA,NA,NA,NA,NA
NA,NA,3e+05,290000,NA
NA,NA,NA,NA,NA
NA,NA,496867,500189,NA
NA,258700,275000,275000,NA
NA,NA,1e+05,1e+05,NA
NA,NA,NA,NA,NA
NA,NA,150000,150000,NA
NA,NA,190000,195000,NA
NA,NA,229231,NA,120415
NA,NA,NA,NA,102164
NA,NA,145134,145434,150548
NA,NA,1e+05,1e+05,120423
NA,NA,93500,93500,90623
NA,NA,1e+05,1e+05,106967
NA,NA,NA,NA,72646
NA,NA,3e+05,296000,8699850
NA,NA,233100,233100,20000
NA,NA,110000,110000,22700
NA,NA,520000,520000,503500
NA,NA,NA,NA,NA
NA,NA,150684,150684,NA
NA,NA,45000,45000,5500
NA,NA,208763,185555,565622
NA,840000,1198148,1314277,187671
NA,NA,773340,914000,987625
NA,NA,180000,180000,46236
NA,130000,132000,133000,NA
NA,130000,175000,185000,49000
NA,NA,149352,160318,NA
NA,NA,184625,206195,206195
NA,126478,NA,NA,NA
NA,NA,165000,170000,108320
NA,NA,152286,174021,48000
NA,NA,91211,91211,NA
NA,NA,40000,40000,NA
NA,NA,NA,NA,NA
NA,8e+05,578150,619650,NA
NA,NA,1200000,1300000,869508
NA,91820,98000,98000,101765
NA,NA,515745,515745,515745
NA,NA,914552,847446,NA
NA,NA,165000,170000,NA
NA,NA,NA,NA,259650
NA,NA,NA,NA,10400
NA,NA,NA,NA,NA
NA,NA,1000,1000,NA
NA,NA,631851,767302,773802
NA,NA,3000,6000,NA
NA,NA,32000,32825,39050
NA,450000,750000,750000,NA
NA,NA,321325,334075,NA
NA,NA,NA,NA,NA
NA,NA,22000,5000,29663
NA,NA,4000,4000,NA
NA,NA,NA,NA,NA
NA,32000,35000,35000,32867
NA,240000,NA,NA,NA
NA,NA,91753,102416,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,726147
NA,NA,325000,275525,NA
NA,NA,882022,921372,NA
NA,NA,180000,180000,NA
NA,NA,8e+05,855000,NA
NA,190000,2e+05,2e+05,NA
NA,NA,286000,294000,NA
NA,NA,679100,728040,NA
NA,NA,1440000,1367000,NA
NA,NA,465386,431673,NA
NA,360462,5e+05,521000,NA
NA,NA,105000,110000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,1341643,1449877,NA
NA,NA,NA,NA,NA
NA,NA,250000,250000,NA
NA,NA,125000,135000,NA
NA,NA,NA,NA,NA
NA,NA,2e+05,220000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,89570,89570,NA
NA,NA,NA,NA,NA
"46,903","43,021",70000,77000,44073
"86,348","103,585",118809,114109,91851
"1,634,591","1,889,765",2135256,2003784,2178684
"771,549","718,696",7e+05,7e+05,908175
NA,NA,3e+06,3e+06,NA
NA,NA,NA,NA,10006000
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,672300,843903,NA
NA,NA,169000,156000,NA
NA,NA,70000,70000,NA
NA,NA,10500,122300,NA
NA,NA,15000,15000,NA
NA,175000,2e+05,2e+05,NA
NA,NA,133000,133000,NA
NA,NA,10000,10000,NA
NA,NA,NA,NA,NA
NA,NA,3e+05,302000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,72000,130000,144000,NA
NA,NA,60000,65000,NA
46038,97248,85100,87700,72081
70665,41918,80000,80000,10287
NA,NA,214000,214000,NA
NA,NA,112000,78000,120700
NA,NA,0,50000,NA
NA,NA,NA,NA,NA
NA,NA,348233,351997,NA
NA,1800000,2384029,2420832,2512437
NA,NA,NA,NA,NA
NA,NA,140000,150000,NA
NA,NA,NA,NA,39472
NA,NA,275721,305432,NA
NA,NA,NA,NA,NA
NA,NA,6e+05,6e+05,1036065
NA,308650,303084,343578,338983
NA,NA,404751,451863,684853
NA,NA,1e+05,125000,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,322520
NA,NA,NA,NA,NA
NA,NA,113186,115407,NA
NA,NA,350000,350000,NA
NA,NA,228900,294058,NA
NA,551201,325000,350000,559953
NA,NA,14000,15000,NA
NA,NA,71975,70975,NA
NA,NA,220000,220000,NA
NA,NA,250000,260000,NA
NA,NA,82000,92000,NA
NA,NA,68535,72535,NA
NA,NA,73600,73648,NA
NA,NA,169147,164153,NA
NA,NA,77280,86425,NA
NA,NA,48000,49000,NA
NA,NA,825000,850000,NA
NA,NA,125000,125000,NA
NA,219135,225811,226706,NA
NA,NA,98435,110930,NA
NA,NA,50000,50000,NA
NA,NA,59354375,64046268,66042827
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
