GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,AV0AA205,AV0AA205M
"G0100010","Alabama","01","010","Autauga County","001","0010",55639,
"G0100030","Alabama","01","010","Baldwin County","003","0030",218289,
"G0100050","Alabama","01","010","Barbour County","005","0050",25026,
"G0100070","Alabama","01","010","Bibb County","007","0070",22374,
"G0100090","Alabama","01","010","Blount County","009","0090",57755,
"G0100110","Alabama","01","010","Bullock County","011","0110",10173,
"G0100130","Alabama","01","010","Butler County","013","0130",19726,
"G0100150","Alabama","01","010","Calhoun County","015","0150",114324,
"G0100170","Alabama","01","010","Chambers County","017","0170",33427,
"G0100190","Alabama","01","010","Cherokee County","019","0190",26035,
"G0100210","Alabama","01","010","Chilton County","021","0210",44147,
"G0100230","Alabama","01","010","Choctaw County","023","0230",12755,
"G0100250","Alabama","01","010","Clarke County","025","0250",23866,
"G0100270","Alabama","01","010","Clay County","027","0270",13285,
"G0100290","Alabama","01","010","Cleburne County","029","0290",14952,
"G0100310","Alabama","01","010","Coffee County","031","0310",52238,
"G0100330","Alabama","01","010","Colbert County","033","0330",54957,
"G0100350","Alabama","01","010","Conecuh County","035","0350",12219,
"G0100370","Alabama","01","010","Coosa County","037","0370",10696,
"G0100390","Alabama","01","010","Covington County","039","0390",37096,
"G0100410","Alabama","01","010","Crenshaw County","041","0410",13826,
"G0100430","Alabama","01","010","Cullman County","043","0430",83345,
"G0100450","Alabama","01","010","Dale County","045","0450",49293,
"G0100470","Alabama","01","010","Dallas County","047","0470",38184,
"G0100490","Alabama","01","010","DeKalb County","049","0490",71430,
"G0100510","Alabama","01","010","Elmore County","051","0510",81526,
"G0100530","Alabama","01","010","Escambia County","053","0530",36775,
"G0100550","Alabama","01","010","Etowah County","055","0550",102721,
"G0100570","Alabama","01","010","Fayette County","057","0570",16406,
"G0100590","Alabama","01","010","Franklin County","059","0590",31587,
"G0100610","Alabama","01","010","Geneva County","061","0610",26383,
"G0100630","Alabama","01","010","Greene County","063","0630",8221,
"G0100650","Alabama","01","010","Hale County","065","0650",14754,
"G0100670","Alabama","01","010","Henry County","067","0670",17123,
