assistance_transaction_unique_key,assistance_award_unique_key,award_id_fain,modification_number,award_id_uri,sai_number,federal_action_obligation,total_obligated_amount,total_outlayed_amount_for_overall_award,indirect_cost_federal_share_amount,non_federal_funding_amount,total_non_federal_funding_amount,face_value_of_loan,original_loan_subsidy_cost,total_face_value_of_loan,total_loan_subsidy_cost,generated_pragmatic_obligations,disaster_emergency_fund_codes_for_overall_award,outlayed_amount_from_COVID-19_supplementals_for_overall_award,obligated_amount_from_COVID-19_supplementals_for_overall_award,outlayed_amount_from_IIJA_supplemental_for_overall_award,obligated_amount_from_IIJA_supplemental_for_overall_award,action_date,action_date_fiscal_year,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,treasury_accounts_funding_this_award,federal_accounts_funding_this_award,object_classes_funding_this_award,program_activities_funding_this_award,recipient_uei,recipient_duns,recipient_name,recipient_name_raw,recipient_parent_uei,recipient_parent_duns,recipient_parent_name,recipient_parent_name_raw,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,prime_award_transaction_recipient_county_fips_code,recipient_county_name,prime_award_transaction_recipient_state_fips_code,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,prime_award_transaction_recipient_cd_original,prime_award_transaction_recipient_cd_current,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_scope,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,primary_place_of_performance_county_name,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,prime_award_transaction_place_of_performance_cd_original,prime_award_transaction_place_of_performance_cd_current,primary_place_of_performance_foreign_location,cfda_number,cfda_title,funding_opportunity_number,funding_opportunity_goals_text,assistance_type_code,assistance_type_description,transaction_description,prime_award_base_transaction_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,correction_delete_indicator_code,correction_delete_indicator_description,action_type_code,action_type_description,record_type_code,record_type_description,highly_compensated_officer_1_name,highly_compensated_officer_1_amount,highly_compensated_officer_2_name,highly_compensated_officer_2_amount,highly_compensated_officer_3_name,highly_compensated_officer_3_amount,highly_compensated_officer_4_name,highly_compensated_officer_4_amount,highly_compensated_officer_5_name,highly_compensated_officer_5_amount,usaspending_permalink,initial_report_date,last_modified_date
1550_2012MCFXK022_FY2012-2012MCFXK022-00-NON_16.543_00,ASST_NON_2012MCFXK022_1550,2012MCFXK022,00,FY2014-2012MCFXK022-02-NON,SAI NOT AVAILABLE,325102.00,1051514.00,,,0.00,0.00,0.00,0.00,0.00,0.00,325102.00,,,,,,2012-09-28,2012,2012-07-01,2013-06-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,JMLXNVEKB353,927678110,"STATE POLICE, KENTUCKY DEPARTMENT OF",KENTUCKY STATE POLICE,VK2DNC86A4Q2,007002959,COMMONWEALTH OF KENTUCKY,COMMONWEALTH OF KENTUCKY,USA,UNITED STATES,919 VERSAILLES ROAD,,28900,FRANKFORT,21073,FRANKLIN,21,KY,KENTUCKY,40601,6161,KY-02,KY-01,,,,SINGLE ZIP CODE,USA,UNITED STATES,2128900,FRANKFORT,21073,FRANKLIN,21,KENTUCKY,406016161,KY-02,KY-01,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,INTERNET CRIMES AGAINST CHILDREN TASK FORCE PROGRAM CONTINUATION GRANT,INTERNET CRIMES AGAINST CHILDREN TASK FORCE PROGRAM CONTINUATION GRANT,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012MCFXK022_1550/,2017-09-17,2012-12-04
1550_2012MCFXK047_FY2012-2012MCFXK047-00-NON_16.543_00,ASST_NON_2012MCFXK047_1550,2012MCFXK047,00,FY2014-2012MCFXK047-02-NON,SAI NOT AVAILABLE,428311.00,1419012.00,,,0.00,0.00,0.00,0.00,0.00,0.00,428311.00,,,,,,2012-09-28,2012,2012-07-01,2013-06-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,GHNGAZ1C6LT7,806780789,ATTORNEY GENERAL OF TEXAS,TEXAS OFFICE OF THE ATTORNEY GENERAL,LVFJHJLSLVL3,002537595,STATE OF TEXAS,,USA,UNITED STATES,PO BOX 12548,,05000,AUSTIN,48453,TRAVIS,48,TX,TEXAS,78711,2548,TX-21,TX-37,,,,SINGLE ZIP CODE,USA,UNITED STATES,4805000,AUSTIN,48453,TRAVIS,48,TEXAS,787112548,TX-21,TX-37,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,TEXAS OFFICE OF THE ATTORNEY GENERAL SOUTHERN ICAC TASK FORCE,TEXAS OFFICE OF THE ATTORNEY GENERAL SOUTHERN ICAC TASK FORCE,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012MCFXK047_1550/,2017-09-17,2012-12-04
1550_2012MCFXK023_FY2012-2012MCFXK023-00-NON_16.543_00,ASST_NON_2012MCFXK023_1550,2012MCFXK023,00,FY2014-2012MCFXK023-02-NON,SAI NOT AVAILABLE,302584.00,991383.00,,,0.00,0.00,0.00,0.00,0.00,0.00,302584.00,,,,,,2012-09-28,2012,2012-07-01,2013-06-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,EM44YKJ8L555,835005778,MARYLAND DEPARTMENT OF STATE POLICE,MARYLAND STATE POLICE,EJEEH8S7HW17,001969443,STATE OF MARYLAND,STATE OF MARYLAND,USA,UNITED STATES,1201 REISTERSTOWN ROAD,,61400,PIKESVILLE,24005,BALTIMORE,24,MD,MARYLAND,21208,3898,MD-02,MD-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,2461400,PIKESVILLE,24005,BALTIMORE,24,MARYLAND,212083898,MD-02,MD-02,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,MARYLAND ICAC TASK FORCE,MARYLAND ICAC TASK FORCE,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012MCFXK023_1550/,2017-09-17,2012-12-04
1550_2009MUFXK401_FY2012-2009MUFXK401-00-NON_16.541_00,ASST_NON_2009MUFXK401_1550,2009MUFXK401,00,FY2012-2009MUFXK401-00-NON,SAI NOT AVAILABLE,125498.00,125498.00,,,0.00,0.00,0.00,0.00,0.00,0.00,125498.00,,,,,,2012-09-28,2012,2009-10-01,2012-12-31,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,N2GZY55HZ5R9,059266499,PIKES PEAK COMMUNITY FOUNDATION,PIKES PEAK COMMUNITY FOUNDATION,,,,,USA,UNITED STATES,730 N NEVADA AVENUE,,90741,COLORADO SPRINGS,08041,EL PASO,08,CO,COLORADO,80903,1008,CO-05,CO-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,0890741,COLORADO SPRINGS,08041,EL PASO,08,COLORADO,809031008,CO-05,CO-05,,16.541,"PART E - DEVELOPING, TESTING AND DEMONSTRATING PROMISING NEW PROGRAMS",,,05,,NATIONAL JUVENILE INFORMATION SHARING INITIATIVE,NATIONAL JUVENILE INFORMATION SHARING INITIATIVE,NON,,M,NONPROFIT WITH 501C3 IRS STATUS (OTHER THEN INSTITUTION OF HIGHER EDUCATION),,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2009MUFXK401_1550/,2017-09-17,2013-02-11
1550_2012MCFXK029_FY2012-2012MCFXK029-00-NON_16.543_00,ASST_NON_2012MCFXK029_1550,2012MCFXK029,00,FY2014-2012MCFXK029-02-NON,SAI NOT AVAILABLE,353875.00,1141625.00,,,0.00,0.00,0.00,0.00,0.00,0.00,353875.00,,,,,,2012-09-28,2012,2012-07-01,2013-06-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,L147QU9MVD25,878700798,STATE POLICE DEPARTMENT,MASSACHUSETTS STATE POLICE,FXV5JB3EPZ99,073130932,THE COMMONWEALTH OF MASSACHUSETTS,"MASSACHUSETTS, COMMONWEALTH OF",USA,UNITED STATES,470 WORCESTER RD,,24960,FRAMINGHAM,25017,MIDDLESEX,25,MA,MASSACHUSETTS,01702,5309,MA-07,MA-05,,,,SINGLE ZIP CODE,USA,UNITED STATES,2524960,FRAMINGHAM,25017,MIDDLESEX,25,MASSACHUSETTS,017025309,MA-07,MA-05,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,OJJDP FY 12 INTERNET CRIMES AGAINST CHILDREN TASK FORCE PROGRAM CONTINUATION - MA,OJJDP FY 12 INTERNET CRIMES AGAINST CHILDREN TASK FORCE PROGRAM CONTINUATION - MA,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012MCFXK029_1550/,2017-09-17,2012-12-04
1550_2011MCCXK006_FY2012-2011MCCXK006-01-NON_16.543_01,ASST_NON_2011MCCXK006_1550,2011MCCXK006,01,FY2013-2011MCCXK006-02-NON,SAI NOT AVAILABLE,299456.00,914216.00,,,0.00,0.00,0.00,0.00,0.00,0.00,299456.00,,,,,,2012-09-28,2012,2011-04-01,2013-06-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,Q28CA1L2WPV7,808349021,DEPT OF PUB SAFETY,IOWA DEPARTMENT OF PUBLIC SAFETY,K2NLUMNEJJV4,053745303,"IOWA, STATE OF","IOWA, STATE OF",USA,UNITED STATES,215 EAST 7TH STREET,,21000,DES MOINES,19153,POLK,19,IA,IOWA,50319,0041,IA-03,IA-03,,,,SINGLE ZIP CODE,USA,UNITED STATES,1921000,DES MOINES,19153,POLK,19,IOWA,503190041,IA-03,IA-03,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,ICAC 2011 CONTINUATION,ICAC 2011 CONTINUATION,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2011MCCXK006_1550/,2017-09-17,2012-12-04
1550_2012DJBX0305_FY2012-2012DJBX0305-01-NON_16.738_01,ASST_NON_2012DJBX0305_1550,2012DJBX0305,01,FY2015-2012DJBX0305-01-NON-02,SAI NOT AVAILABLE,55000.00,4299056.18,,,0.00,0.00,0.00,0.00,0.00,0.00,55000.00,,,,,,2012-09-28,2012,2011-10-01,2015-09-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,G7ZTDEJL47S9,878047364,DEPARTMENT OF PUBLIC SAFETY MISSOURI,MISSOURI DEPARTMENT OF PUBLIC SAFETY,K3LWE6J8CUE6,073134579,STATE OF MISSOURI,"MISSOURI, STATE OF",USA,UNITED STATES,P.O. BOX 749,,37000,JEFFERSON CITY,29051,COLE,29,MO,MISSOURI,65102,0749,MO-04,MO-03,,,,SINGLE ZIP CODE,USA,UNITED STATES,2937000,JEFFERSON CITY,29051,COLE,29,MISSOURI,651020749,MO-04,MO-03,,16.738,EDWARD BYRNE MEMORIAL JUSTICE ASSISTANCE GRANT PROGRAM,,,04,,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,FY 2012 JUSTICE ASSISTANCE GRANT PROGRAM,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2012DJBX0305_1550/,2017-09-17,2012-12-04
1550_2010MCCXK016_FY2012-2010MCCXK016-02-NON_16.543_02,ASST_NON_2010MCCXK016_1550,2010MCCXK016,02,FY2012-2010MCCXK016-02-NON,SAI NOT AVAILABLE,364509.00,1068058.00,,,0.00,0.00,0.00,0.00,0.00,0.00,364509.00,,,,,,2012-09-28,2012,2010-04-01,2013-06-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,FJEHNN9JALF8,042453530,CITY OF KNOXVILLE,CITY OF KNOXVILLE,FJEHNN9JALF8,042453530,CITY OF KNOXVILLE,"KNOXVILLE, CITY OF",USA,UNITED STATES,P.O. BOX 3610,,40000,KNOXVILLE,47093,KNOX,47,TN,TENNESSEE,37927,3610,TN-02,TN-02,,,,SINGLE ZIP CODE,USA,UNITED STATES,4740000,KNOXVILLE,47093,KNOX,47,TENNESSEE,379273610,TN-02,TN-02,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,TENNESSEE FY 10 INTERNETCRIMES AGAINST CHILDREN TASK FORCE CONTINUATION PROGRAM,TENNESSEE FY 10 INTERNETCRIMES AGAINST CHILDREN TASK FORCE CONTINUATION PROGRAM,NON,,X,OTHER,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2010MCCXK016_1550/,2017-09-17,2012-12-04
1550_2010MCCXK022_FY2012-2010MCCXK022-02-NON_16.543_02,ASST_NON_2010MCCXK022_1550,2010MCCXK022,02,FY2012-2010MCCXK022-02-NON,SAI NOT AVAILABLE,278814.00,794449.00,,,0.00,0.00,0.00,0.00,0.00,0.00,278814.00,,,,,,2012-09-28,2012,2010-04-01,2013-06-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,HY1JBXED4HY5,036719169,"ATTORNEY GENERAL'S OFFICE, MISSISSIPPI","ATTORNEY GENERAL JIM HOOD, STATE OF MISSISSIP",KNDBTMFBXDV7,008210692,STATE OF MISSISSIPPI,"MISSISSIPPI, STATE OF",USA,UNITED STATES,"550 HIGH STREET, SUITE 1200",P. O. BOX 220,36000,JACKSON,28049,HINDS,28,MS,MISSISSIPPI,39201,0000,MS-02,MS-03,,,,SINGLE ZIP CODE,USA,UNITED STATES,2836000,JACKSON,28049,HINDS,28,MISSISSIPPI,392010000,MS-02,MS-03,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,ICAC CONTINUATION GRANT FY 2010,ICAC CONTINUATION GRANT FY 2010,NON,,A,STATE GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2010MCCXK022_1550/,2017-09-17,2012-12-04
1550_2010MCCXK031_FY2012-2010MCCXK031-02-NON_16.543_02,ASST_NON_2010MCCXK031_1550,2010MCCXK031,02,FY2012-2010MCCXK031-02-NON,SAI NOT AVAILABLE,227522.00,669288.00,,,0.00,0.00,0.00,0.00,0.00,0.00,227522.00,,,,,,2012-09-28,2012,2010-04-01,2013-06-30,015,Department of Justice,1550,Office of Justice Programs,,,,,,,,,,,,,G6XSV1B8MVB9,076667013,"ANCHORAGE, MUNICIPALITY OF (INC)",ANCHORAGE POLICE DEPARTMENT,G6XSV1B8MVB9,076667013,"ANCHORAGE, MUNICIPALITY OF (INC)","ANCHORAGE, MUNICIPALITY OF",USA,UNITED STATES,4501 ELMORE ROAD,,03000,ANCHORAGE,02020,ANCHORAGE,02,AK,ALASKA,99507,1500,AK-00,AK-00,,,,SINGLE ZIP CODE,USA,UNITED STATES,0203000,ANCHORAGE,02020,ANCHORAGE,02,ALASKA,995071500,AK-00,AK-00,,16.543,MISSING CHILDREN'S ASSISTANCE,,,05,,FY2010 ALASKA INTERNET CRIMES AGAINST CHILDREN TASK FORCE CONTINUATION,FY2010 ALASKA INTERNET CRIMES AGAINST CHILDREN TASK FORCE CONTINUATION,NON,,C,CITY OR TOWNSHIP GOVERNMENT,,,A,,2,,,,,,,,,,,,https://www.usaspending.gov/award/ASST_NON_2010MCCXK031_1550/,2017-09-17,2012-12-04
