AGENCYNAME,city,STATE,budget_2013,budget_2016,budget_2019,budget_2020,budget_2021,source_budget_2021
abbeville county sheriff's office,abbeville,SC,NA,1598266,NA,NA,2699000,https://policescorecard.org/
aberdeen police department,aberdeen,OH,NA,NA,541295,667600,,
aberdeen police department,aberdeen,WA,1200000,NA,1544127,1723226,,
abilene police department,abilene,TX,51330407,62676929,68096399,71273749,30643000,https://policescorecard.org/
ada county sheriff's office,boise,ID,NA,NA,14153412,15116035,51193000,https://policescorecard.org/
adams county sheriff's office,brighton,CO,21700000,22797782,24605832,25834715,43543000,https://policescorecard.org/
adams county sheriff's office,quincy,IL,33553781,27639183,39207499,43066617,4034000,https://policescorecard.org/
adams village police department,adams,NY,55420523,57757337,78881622,79651600,"76,759",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
adamsville police department,adamsville,TN,99177706,107201903,95079379,98338802,,
adrian police department,adrian,MO,NA,5035950,5519715,5798220,25930,https://adrian.municipalimpact.com/documents/444/Adrian_Budget_Document_-_Fiscal_Year_End_June_30_2023.pdf
adrian township police department,adrian,MI,NA,NA,NA,NA,3810000,https://policescorecard.org/
advance police department,advance,IN,104635459,119546420,147811103,158041846,22700,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
aiken county sheriff's office,aiken,SC,17310109,18787125,24209407,24209907,17544000,https://policescorecard.org/
aiken public safety,aiken,SC,NA,NA,NA,NA,8869000,https://policescorecard.org/
aitkin police department,aitkin,MN,NA,NA,NA,NA,,
akron police department,akron,OH,NA,NA,2582444,3072189,67823000,https://policescorecard.org/
akron village police department,akron,NY,NA,19764000,21593444,22193453,"273,170",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
alabaster police department,alabaster,AL,NA,124680900,151162000,156098400,7888000,https://policescorecard.org/
alachua county sheriff's office,gainesville,FL,1.9e+08,198513945,237613323,236088678,39945000,https://policescorecard.org/
alamance county sheriff's office,graham,NC,95532202,105217231,124224795,124729951,25271000,https://policescorecard.org/
alameda county sheriff's office,oakland,CA,250599471,270017964,280038331,295327329,33681542,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
alamogordo police department,alamogordo,NM,258844600,293768100,361900200,348266800,5236000,https://policescorecard.org/
alamosa county sheriff's office,alamosa,CO,NA,NA,19068672,18925378,4808000,https://policescorecard.org/
alba police department,alba,TX,97575500,106906445,136708269,142037491,,
albany city police department,albany,NY,13067444,17198922,14500000,1.5e+07,"51,051,538",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
albany county sheriff's office,albany,NY,NA,67141598,72062895,78479788,"20,200,150",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
albany police department,albany,GA,7.5e+07,833241088,"590,236,000","592,600,000",19241000,https://policescorecard.org/
albemarle county police department,charlottesvle,VA,451326836,493330109,702940082,720101353,21029000,https://policescorecard.org/
albert lea police department,albert lea,MN,45091610,"32,494,029",56340861,59777619,4467000,https://policescorecard.org/
albuquerque police department,albuquerque,NM,,,35645007,37531729,226900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
alcona county sheriff's office,harrisville,MI,1144173,1235255,3850000,4003189,1470000,https://micommunityfinancials.michigan.gov/#!/browse?filterType=CITY&lat=44.022893636582694&lng=-83.88786025699642&zoom=6.586616922592568&year=2021&showSidebar=yes
alex police department,alex,OK,555819,540190,8e+05,975000,,
alexandria police department,alexandria,IN,18276386,22167692,24928508,26580358,"1,349,409",https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
alexandria police department,alexandria,LA,16758968,16749491,1.8e+07,1.8e+07,14651000,https://policescorecard.org/
alexandria police department,alexandria,VA,59909398,7e+07,72068068,72274292,92909000,https://policescorecard.org/
algonquin police department,algonquin,IL,54273900,64364000,68859100,67118000,9633000,https://policescorecard.org/
allegany village police department,allegany,NY,171297668,185614863,220985727,220090480,"275,627",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
allegheny county police department,pittsburgh,PA,64323440,62692494,7.9e+07,8.2e+07,37489716,https://www.alleghenycounty.us/files/assets/county/v/1/government/budget-amp-finance/operating-budget/2021-operating-budget-resolution.pdf
allegheny county sheriff's office,pittsburgh,PA,80330712,96635505,114171668,113382946,37489716,https://www.alleghenycounty.us/files/assets/county/v/1/government/budget-amp-finance/proposed-operating-budgets/final-operating_2021-comprehensive-fiscal-plan.pdf
allegheny township police department,leechburg,PA,10800000,11134873,12850306,12925780,1150535,https://dced.pa.gov/local-government/municipal-statistics/
allen county sheriff's department,fort wayne,IN,NA,NA,NA,NA,69400000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
allen parish sheriff's office,oberlin,LA,NA,NA,75000,75000,218000,https://policescorecard.org/
allen police department,allen,OK,NA,NA,55969,30000,,
allen police department,allen,TX,192612,180085,195101,251823,30547000,https://policescorecard.org/
allentown city police department,allentown,PA,96837,76697,54100,55227,40192000,https://policescorecard.org/
alma police department,alma,WI,61127,72462,50000,50000,,
alma police department,alma,AR,73946,56750,55882,49985,,
alma police department,alma,GA,NA,NA,267860,278500,,
alpharetta department of public safety,alpharetta,GA,NA,NA,218938,223994,14634000,https://policescorecard.org/
altoona police department,altoona,WI,NA,NA,NA,NA,,
amador county sheriff's office,jackson,CA,NA,NA,NA,NA,98213,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
