location,is_city,zip,County,STATE,City
whitley_KY,0,40769,whitley,KY,williamsburg
garrard_KY,0,40444,garrard,KY,lancaster
grand_CO,0,80482,grand,CO,winter park
new castle_DE,0,19720,new castle,DE,new castle
chatham_GA,0,31405,chatham,GA,savannah
clarke_GA,0,30605,clarke,GA,athens
clayton_GA,0,30236,clayton,GA,jonesboro
cobb_GA,0,30060,cobb,GA,marietta
dekalb_GA,0,30084,dekalb,GA,tucker
floyd_GA,0,30161,floyd,GA,rome
glynn_GA,0,31525,glynn,GA,brunswick
gwinnett_GA,0,30046,gwinnett,GA,lawrenceville
henry_GA,0,30253,henry,GA,mcdonough
walker_GA,0,30728,walker,GA,la fayette
ware_GA,0,31501,ware,GA,waycross
calhoun_IA,0,50428,calhoun,IA,clear lake
riley_KS,0,66502,riley,KS,manhattan
anne arundel_MD,0,21108,anne arundel,MD,millersville
baltimore_MD,0,21286,baltimore,MD,towson
howard_MD,0,21043,howard,MD,ellicott
montgomery_MD,0,20878,montgomery,MD,gaithersburg
prince george's_MD,0,20785,prince george's,MD,hyattsville
st. charles_MO,0,63366,st. charles,MO,o fallon
st. louis_MO,0,63105,st. louis,MO,st. louis
gaston_NC,0,28053,gaston,NC,gastonia
camden_NJ,0,8103,camden,NJ,camden
nassau_NY,0,11501,nassau,NY,mineola
suffolk_NY,0,11980,suffolk,NY,yaphank
westchester_NY,0,10532,westchester,NY,hawthorne
allegheny_PA,0,15220,allegheny,PA,pittsburgh
northampton_PA,0,18017,northampton,PA,bethlehem
washington_PA,0,15022,washington,PA,charleroi
horry_SC,0,29526,horry,SC,conway
albemarle_VA,0,22902,albemarle,VA,charlottesvle
arlington_VA,0,22201,arlington,VA,arlington
chesterfield_VA,0,23832,chesterfield,VA,chesterfield
fairfax_VA,0,22030,fairfax,VA,fairfax
henrico_VA,0,23273,henrico,VA,henrico
prince william_VA,0,22192,prince william,VA,prince william
roanoke_VA,0,24019,roanoke,VA,roanoke
norphlet_AR,1,71759,NA,AR,norphlet
lynn_AL,1,35575,NA,AL,lynn
sanford_CO,1,81151,NA,CO,sanford
whitaker borough_PA,1,15120,NA,PA,whitaker borough
saltsburg borough_PA,1,15681,NA,PA,saltsburg borough
stoneboro borough_PA,1,16153,NA,PA,stoneboro borough
brownsville borough_PA,1,15417,NA,PA,brownsville borough
china grove_TX,1,28023,NA,TX,china grove
pittsford_VT,1,5763,NA,VT,pittsford
west paterson borough_NJ,1,7424,NA,NJ,west paterson borough
east granby_CT,1,6026,NA,CT,east granby
denver_IA,1,50622,NA,IA,denver
dunlap_IA,1,51529,NA,IA,dunlap
ellsworth_IA,1,50075,NA,IA,ellsworth
nora springs_IA,1,50458,NA,IA,nora springs
west bend_IA,1,50597,NA,IA,west bend
