AGENCYNAME,city,STATE,opbudget2019,opbudget_2021_2022,source
abbeville county sheriff's office,abbeville,SC,2e+06,2699000,https://policescorecard.org/
aberdeen police department,aberdeen,OH,3406300,,
aberdeen police department,aberdeen,WA,6799803,,
abilene police department,abilene,TX,30362070,30643000,https://policescorecard.org/
ada county sheriff's office,boise,ID,67888464,51193000,https://policescorecard.org/
adams county sheriff's office,brighton,CO,32120833,43543000,https://policescorecard.org/
adams county sheriff's office,quincy,IL,8573789,4034000,https://policescorecard.org/
adams village police department,adams,NY,123185,"76,759",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
adamsville police department,adamsville,TN,3718178,,
adrian police department,adrian,MO,250000,25930,https://adrian.municipalimpact.com/documents/444/Adrian_Budget_Document_-_Fiscal_Year_End_June_30_2023.pdf
adrian township police department,adrian,MI,265000,3810000,https://policescorecard.org/
advance police department,advance,IN,110000,22700,https://gateway.ifionline.org/report_builder/Default3a.aspx?rpttype=budget&rpt=DetailedExpenditures&rptName=Line-Item%20Budget%20Estimate
aiken county sheriff's office,aiken,SC,15917850,17544000,https://policescorecard.org/
aiken public safety,aiken,SC,10494680,8869000,https://policescorecard.org/
aitkin police department,aitkin,MN,8e+05,,
akron police department,akron,OH,56670000,67823000,https://policescorecard.org/
akron village police department,akron,NY,320535,"273,170",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
alabaster police department,alabaster,AL,7662330,7888000,https://policescorecard.org/
alachua county sheriff's office,gainesville,FL,87361604,39945000,https://policescorecard.org/
alamance county sheriff's office,graham,NC,25952428,25271000,https://policescorecard.org/
alameda county sheriff's office,oakland,CA,222247928,33681542,https://cities.bythenumbers.sco.ca.gov/#!/year/2021/operating/0/subcategory_2/Police_Current+Expenditures/0/entity_name
alamogordo police department,alamogordo,NM,7624130,5236000,https://policescorecard.org/
alamosa county sheriff's office,alamosa,CO,25090100,4808000,https://policescorecard.org/
alba police department,alba,TX,14000,,
albany city police department,albany,NY,126498626,"51,051,538",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
albany county sheriff's office,albany,NY,25231520,"20,200,150",https://wwe1.osc.state.ny.us/localgov/findata/financial-data-for-local-governments.cfm
albany police department,albany,GA,77737660,19241000,https://policescorecard.org/
albemarle county police department,charlottesvle,VA,1.8e+07,21029000,https://policescorecard.org/
albert lea police department,albert lea,MN,9531054,4467000,https://policescorecard.org/
albuquerque police department,albuquerque,NM,188000000,226900000,https://abc7ny.com/where-police-departments-defunded-how-does-funding-impact-crime-defund-the-budgets/12324846/
